Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) ,COU,Life Expectancy at Birth,Population
Japan,JPN,4,3,7,14,1988,Seoul,KOR,3.07168E+12,JPN,78.4,122745000.0
Germany,DEU,37,35,30,102,1988,Seoul,KOR,1.40123E+12,DEU,75.8,78144617.0
South Korea,KOR,12,10,11,33,1988,Seoul,KOR,1.99591E+11,,,
Yugoslavia,YUG,3,4,5,12,1988,Seoul,KOR,,,,
England,GBR,5,10,9,24,1988,Seoul,KOR,9.10123E+11,,,
Sweden,SWE,0,4,7,11,1988,Seoul,KOR,2.06987E+11,SWE,77.1,8436483.0
Morocco,MAR,1,0,2,3,1988,Seoul,KOR,25705296184,,,
Canada,CAN,3,2,5,10,1988,Seoul,KOR,5.07354E+11,CAN,76.8,26791747.0
Russia,RUS,55,31,46,132,1988,Seoul,KOR,5.54713E+11,RUS,69.6,146035578.0
Djibouti,DJI,0,0,1,1,1988,Seoul,KOR,395794538.6,,,
Portugal,PRT,1,0,0,1,1988,Seoul,KOR,56347250696,PRT,73.8,10019610.0
Hungary,HUN,11,6,6,23,1988,Seoul,KOR, $-   ,HUN,70.2,10596489.0
Kenya,KEN,5,2,2,9,1988,Seoul,KOR,8355380879,,,
