Event,NOC,Pos.,Year,Discipline,Gender Cleaned,Event Cleaned
"Team, Open",GER,3,1964,Equestrian Eventing,Open,Team
"Individual, Open",FRA,1,1964,Equestrian Jumping,Open,Individual
"Individual, Open",GER,2,1964,Equestrian Jumping,Open,Individual
"Individual, Open",GBR,3,1964,Equestrian Jumping,Open,Individual
"Team, Open",GER,1,1964,Equestrian Jumping,Open,Team
"Team, Open",FRA,2,1964,Equestrian Jumping,Open,Team
"Team, Open",ITA,3,1964,Equestrian Jumping,Open,Team
"Épée, Individual, Men",URS,1,1964,Fencing,Men,"Épée, Individual"
"Épée, Individual, Men",GBR,2,1964,Fencing,Men,"Épée, Individual"
"Épée, Individual, Men",URS,3,1964,Fencing,Men,"Épée, Individual"
"Épée, Team, Men",HUN,1,1964,Fencing,Men,"Épée, Team"
"Épée, Team, Men",ITA,2,1964,Fencing,Men,"Épée, Team"
"Épée, Team, Men",FRA,3,1964,Fencing,Men,"Épée, Team"
"Foil, Individual, Men",POL,1,1964,Fencing,Men,"Foil, Individual"
"Foil, Individual, Men",FRA,2,1964,Fencing,Men,"Foil, Individual"
"Foil, Individual, Men",FRA,3,1964,Fencing,Men,"Foil, Individual"
"Foil, Individual, Women",HUN,1,1964,Fencing,Women,"Foil, Individual"
"Foil, Individual, Women",GER,2,1964,Fencing,Women,"Foil, Individual"
"Foil, Individual, Women",ITA,3,1964,Fencing,Women,"Foil, Individual"
"Foil, Team, Men",URS,1,1964,Fencing,Men,"Foil, Team"
"Foil, Team, Men",POL,2,1964,Fencing,Men,"Foil, Team"
"Foil, Team, Men",FRA,3,1964,Fencing,Men,"Foil, Team"
"Foil, Team, Women",HUN,1,1964,Fencing,Women,"Foil, Team"
"Foil, Team, Women",URS,2,1964,Fencing,Women,"Foil, Team"
"Foil, Team, Women",GER,3,1964,Fencing,Women,"Foil, Team"
"Sabre, Individual, Men",HUN,1,1964,Fencing,Men,"Sabre, Individual"
"Sabre, Individual, Men",FRA,2,1964,Fencing,Men,"Sabre, Individual"
"Sabre, Individual, Men",URS,3,1964,Fencing,Men,"Sabre, Individual"
"Sabre, Team, Men",URS,1,1964,Fencing,Men,"Sabre, Team"
"Sabre, Team, Men",ITA,2,1964,Fencing,Men,"Sabre, Team"
"Sabre, Team, Men",POL,3,1964,Fencing,Men,"Sabre, Team"
"Football, Men",HUN,1,1964,Football,Men,Football
"Football, Men",TCH,2,1964,Football,Men,Football
"Football, Men",GER,3,1964,Football,Men,Football
"Hockey, Men",IND,1,1964,Hockey,Men,Hockey
"Hockey, Men",PAK,2,1964,Hockey,Men,Hockey
"Hockey, Men",AUS,3,1964,Hockey,Men,Hockey
"Heavyweight, Men",JPN,1,1964,Judo,Men,Heavyweight
"Heavyweight, Men",CAN,2,1964,Judo,Men,Heavyweight
"Heavyweight, Men",URS,3,1964,Judo,Men,Heavyweight
"Heavyweight, Men",URS,3,1964,Judo,Men,Heavyweight
"Lightweight, Men",JPN,1,1964,Judo,Men,Lightweight
"Lightweight, Men",SUI,2,1964,Judo,Men,Lightweight
"Lightweight, Men",URS,3,1964,Judo,Men,Lightweight
"Lightweight, Men",URS,3,1964,Judo,Men,Lightweight
"Middleweight, Men",JPN,1,1964,Judo,Men,Middleweight
"Middleweight, Men",GER,2,1964,Judo,Men,Middleweight
"Middleweight, Men",USA,3,1964,Judo,Men,Middleweight
"Middleweight, Men",KOR,3,1964,Judo,Men,Middleweight
"Open Class, Men",NED,1,1964,Judo,Men,Open Class
"Open Class, Men",JPN,2,1964,Judo,Men,Open Class
"Open Class, Men",GER,3,1964,Judo,Men,Open Class
"Open Class, Men",AUS,3,1964,Judo,Men,Open Class
"Individual, Men",HUN,1,1964,Modern Pentathlon,Men,Individual
"Individual, Men",URS,2,1964,Modern Pentathlon,Men,Individual
"Individual, Men",URS,3,1964,Modern Pentathlon,Men,Individual
"Team, Men",URS,1,1964,Modern Pentathlon,Men,Team
"Team, Men",USA,2,1964,Modern Pentathlon,Men,Team
"Team, Men",HUN,3,1964,Modern Pentathlon,Men,Team
"Coxed Fours, Men",GER,1,1964,Rowing,Men,Coxed Fours
"Coxed Fours, Men",ITA,2,1964,Rowing,Men,Coxed Fours
"Coxed Fours, Men",NED,3,1964,Rowing,Men,Coxed Fours
"Coxed Pairs, Men",USA,1,1964,Rowing,Men,Coxed Pairs
"Coxed Pairs, Men",FRA,2,1964,Rowing,Men,Coxed Pairs
"Coxed Pairs, Men",NED,3,1964,Rowing,Men,Coxed Pairs
"Coxless Fours, Men",DEN,1,1964,Rowing,Men,Coxless Fours
"Coxless Fours, Men",GBR,2,1964,Rowing,Men,Coxless Fours
"Coxless Fours, Men",USA,3,1964,Rowing,Men,Coxless Fours
"Coxless Pairs, Men",CAN,1,1964,Rowing,Men,Coxless Pairs
"Coxless Pairs, Men",NED,2,1964,Rowing,Men,Coxless Pairs
"Coxless Pairs, Men",GER,3,1964,Rowing,Men,Coxless Pairs
"Double Sculls, Men",URS,1,1964,Rowing,Men,Double Sculls
"Double Sculls, Men",USA,2,1964,Rowing,Men,Double Sculls
"Double Sculls, Men",TCH,3,1964,Rowing,Men,Double Sculls
