Event,Name,NOC,Pos.,Year,Discipline
"Sabre, Team, Men",Italy,ITA,2,1964,Fencing
"Sabre, Team, Men",Poland,POL,3,1964,Fencing
"Football, Men",Hungary,HUN,1,1964,Football
"Football, Men",Czechoslovakia,TCH,2,1964,Football
"Football, Men",Unified Team of Germany,GER,3,1964,Football
"Hockey, Men",India,IND,1,1964,Hockey
"Hockey, Men",Pakistan,PAK,2,1964,Hockey
"Hockey, Men",Australia,AUS,3,1964,Hockey
"Heavyweight, Men",Isao Inokuma,JPN,1,1964,Judo
"Heavyweight, Men",,,1,1964,Judo
"Heavyweight, Men",Doug Rogers,CAN,2,1964,Judo
"Heavyweight, Men",,,2,1964,Judo
"Heavyweight, Men",Parnaoz Chik'viladzeAnzor K'ik'nadze,URS,3,1964,Judo
"Heavyweight, Men",,URS,3,1964,Judo
"Lightweight, Men",Takehide Nakatani,JPN,1,1964,Judo
"Lightweight, Men",,,1,1964,Judo
"Lightweight, Men",Eric HÃ¤nni,SUI,2,1964,Judo
"Lightweight, Men",,,2,1964,Judo
"Lightweight, Men",Oleg StepanovÄrons BoguÄ¼ubovs,URS,3,1964,Judo
"Lightweight, Men",,URS,3,1964,Judo
"Middleweight, Men",Isao Okano,JPN,1,1964,Judo
"Middleweight, Men",,,1,1964,Judo
"Middleweight, Men",Wolfgang Hofmann,GER,2,1964,Judo
"Middleweight, Men",,,2,1964,Judo
"Middleweight, Men",Jim BregmanKim Ui-Tae,USA,3,1964,Judo
"Middleweight, Men",,KOR,3,1964,Judo
"Open Class, Men",Anton Geesink,NED,1,1964,Judo
"Open Class, Men",,,1,1964,Judo
"Open Class, Men",Akio Kaminaga,JPN,2,1964,Judo
"Open Class, Men",,,2,1964,Judo
"Open Class, Men",Klaus GlahnTed Boronovskis,GER,3,1964,Judo
"Open Class, Men",,AUS,3,1964,Judo
"Individual, Men",Ferenc TÃ¶rÃ¶k,HUN,1,1964,Modern Pentathlon
"Individual, Men",Igor Novikov,URS,2,1964,Modern Pentathlon
"Individual, Men",Albert Mokeyev,URS,3,1964,Modern Pentathlon
"Team, Men",Soviet Union,URS,1,1964,Modern Pentathlon
"Team, Men",United States,USA,2,1964,Modern Pentathlon
"Team, Men",Hungary,HUN,3,1964,Modern Pentathlon
"Coxed Fours, Men",Unified Team of Germany,GER,1,1964,Rowing
"Coxed Fours, Men",Italy,ITA,2,1964,Rowing
"Coxed Fours, Men",Netherlands,NED,3,1964,Rowing
"Coxed Pairs, Men",United States,USA,1,1964,Rowing
"Coxed Pairs, Men",France,FRA,2,1964,Rowing
"Coxed Pairs, Men",Netherlands,NED,3,1964,Rowing
"Coxless Fours, Men",Denmark,DEN,1,1964,Rowing
"Coxless Fours, Men",Great Britain,GBR,2,1964,Rowing
"Coxless Fours, Men",United States,USA,3,1964,Rowing
"Coxless Pairs, Men",Canada,CAN,1,1964,Rowing
"Coxless Pairs, Men",Netherlands,NED,2,1964,Rowing
"Coxless Pairs, Men",Unified Team of Germany,GER,3,1964,Rowing
"Double Sculls, Men",Soviet Union,URS,1,1964,Rowing
"Double Sculls, Men",United States,USA,2,1964,Rowing
"Double Sculls, Men",Czechoslovakia,TCH,3,1964,Rowing
"Eights, Men",United States,USA,1,1964,Rowing
"Eights, Men",Unified Team of Germany,GER,2,1964,Rowing
"Eights, Men",Czechoslovakia,TCH,3,1964,Rowing
"Single Sculls, Men",Vyacheslav Ivanov,URS,1,1964,Rowing
"Single Sculls, Men",Achim Hill,GER,2,1964,Rowing
"Single Sculls, Men",GÃ¶pf Kottmann,SUI,3,1964,Rowing
"5.5 metres, Open",Barrenjoey,AUS,1,1964,Sailing
"5.5 metres, Open",Rush VII,SWE,2,1964,Sailing
"5.5 metres, Open",Bingo,USA,3,1964,Sailing
"One Person Dinghy, Open",Willi Kuhweide,GER,1,1964,Sailing
"One Person Dinghy, Open",Peter Barrett,USA,2,1964,Sailing
"One Person Dinghy, Open",Henning Wind,DEN,3,1964,Sailing
"Three Person Keelboat, Open",White Lady,DEN,1,1964,Sailing
"Three Person Keelboat, Open",Mutafo,GER,2,1964,Sailing
"Three Person Keelboat, Open",Aphrodite,USA,3,1964,Sailing
"Two Person Heavyweight Dinghy, Open",Pandora,NZL,1,1964,Sailing
"Two Person Heavyweight Dinghy, Open",Lady C,GBR,2,1964,Sailing
"Two Person Heavyweight Dinghy, Open",Widgeon,USA,3,1964,Sailing
"Two Person Keelboat, Open",Gem,BAH,1,1964,Sailing
"Two Person Keelboat, Open",Glider,USA,2,1964,Sailing
"Two Person Keelboat, Open",Humbug V,SWE,3,1964,Sailing
"Free Pistol, 50 metres, Men",VÃ¤inÃ¶ Markkanen,FIN,1,1964,Shooting
"Free Pistol, 50 metres, Men",Frank Green,USA,2,1964,Shooting
"Free Pistol, 50 metres, Men",Yoshihisa Yoshikawa,JPN,3,1964,Shooting
"Free Rifle, Three Positions, 300 metres, Men",Gary Anderson,USA,1,1964,Shooting
"Free Rifle, Three Positions, 300 metres, Men",Shota Kveliashvili,URS,2,1964,Shooting
"Free Rifle, Three Positions, 300 metres, Men",Martin Gunnarsson,USA,3,1964,Shooting
