,Gold,Silver,Bronze,Total,GDP,Latitude Hemisphere,Population,Life Expectancy,Average Distance to Games,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
172,9,8,2,9,1.353295458,South,10539909,51.446,5507.264521,39,9,0.230769231,36,9,0.25,3,0,0.0,0,0.0
173,0,2,0,1,38.25312074,North,29331230,68.529,6596.774323,39,1,0.025641026,36,1,0.027777778,3,0,0.0,0,0.0
174,0,0,1,1,132.705,North,6289000,78.95365854,5276.838423,39,1,0.025641026,29,1,0.034482759,10,0,0.0,0,0.0
175,0,0,1,1,39.21255005,North,31822527,69.436,6596.774323,40,1,0.025,34,1,0.029411765,6,0,0.0,0,0.0
176,3,0,2,3,10.49299308,North,51423591,47.911,5218.352425,40,3,0.075,28,2,0.071428571,12,1,0.083333333,0,0.0
177,3,2,2,4,227.37,South,199901231,64.637,6727.82979,40,4,0.1,23,2,0.086956522,17,2,0.117647059,0,0.0
178,0,2,1,2,1.695122174,North,2946401,66.761,4669.953369,40,2,0.05,35,2,0.057142857,5,0,0.0,0,0.0
179,6,2,4,7,15.14175857,North,3727505,73.207,4838.941393,40,7,0.175,30,7,0.233333333,10,0,0.0,0,0.0
180,3,0,0,1,104.337,North,3406672,79.49497561,6087.802239,40,1,0.025,13,0,0.0,27,1,0.037037037,0,0.0
181,0,2,0,1,5.204955901,North,49627623,48.67,5320.200653,41,1,0.024390244,41,1,0.024390244,0,0,0.0,0,0.0
182,0,0,1,1,71.46319383,North,581087255,49.061,5416.461758,41,1,0.024390244,40,1,0.025,1,0,0.0,0,0.0
183,3,0,2,3,56.82966427,North,9642505,73.64714634,4570.22862,41,3,0.073170732,38,2,0.052631579,3,0,0.0,0,0.0
184,3,2,0,2,90.85281401,North,52053764,63.266,4669.026362,41,2,0.048780488,36,2,0.055555556,5,0,0.0,0,0.0
185,6,4,2,6,158.459,North,55748946,65.275,4669.026362,41,6,0.146341463,36,5,0.138888889,5,1,0.2,0,0.0
186,0,2,0,1,10.86232788,North,33505406,63.0097561,6422.407919,42,1,0.023809524,32,1,0.03125,10,0,0.0,0,0.0
187,0,0,1,1,16.98521115,North,43377270,62.495,6073.180027,42,1,0.023809524,39,1,0.025641026,3,0,0.0,0,0.0
188,3,0,0,1,6.6788682,South,7408630,59.731,6067.669821,42,1,0.023809524,23,0,0.0,19,1,0.052631579,0,0.0
189,0,2,0,1,20.10980024,North,3532423,73.53146341,4872.616191,42,1,0.023809524,28,1,0.035714286,14,0,0.0,0,0.0
190,6,4,1,5,128.027,South,187739786,63.131,6727.82979,42,5,0.119047619,27,4,0.148148148,15,1,0.066666667,0,0.0
191,0,2,2,3,12.14439752,North,1362550,71.9097561,4908.788015,42,3,0.071428571,31,3,0.096774194,11,0,0.0,0,0.0
192,9,2,4,8,172.896,North,64995303,71.728,6073.180027,42,8,0.19047619,24,3,0.125,18,5,0.277777778,0,0.0
193,0,4,2,4,12.44062531,North,7415403,70.05756098,4604.985842,43,4,0.093023256,35,1,0.028571429,8,2,0.25,1,0.023255814
194,0,2,0,1,20.43109541,North,36587267,53.492,4669.026362,43,1,0.023255814,42,1,0.023809524,1,0,0.0,0,0.0
195,0,0,1,1,216.339,North,7308800,80.95121951,5276.838423,43,1,0.023255814,23,1,0.043478261,20,0,0.0,0,0.0
196,0,0,1,1,10.0906759,North,8740765,70.30256098,4570.22862,44,1,0.022727273,44,1,0.022727273,0,0,0.0,0,0.0
197,3,0,0,1,99.88657733,North,39629965,72.945,6596.774323,44,1,0.022727273,25,0,0.0,19,1,0.052631579,0,0.0
198,3,2,4,6,48.85248296,North,8763400,70.201,4916.379435,44,6,0.136363636,30,5,0.166666667,14,1,0.071428571,0,0.0
199,0,2,3,4,205.139,North,67761367,66.553,7089.643002,45,4,0.088888889,36,1,0.027777778,9,0,0.0,0,0.0
200,0,2,2,3,2.373566957,North,2306367,71.614,6373.497473,45,3,0.066666667,31,1,0.032258065,14,2,0.142857143,0,0.0
201,6,0,1,3,46.94158252,North,29266415,68.919,4616.552558,45,3,0.066666667,39,3,0.076923077,6,0,0.0,0,0.0
