,Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games
223,Switzerland,CHE,0,4,4,8,1984,Los Angeles,USA,109.547,North,East,6441865.0,76.60853659,4591.695619313333
224,Egypt,EGY,0,1,0,1,1984,Los Angeles,USA,33.971188992,North,East,47968643.0,61.091,4721.534723780001
225,South Korea,KOR,6,6,7,19,1984,Los Angeles,USA,97.510235986,North,East,40405956.0,68.19512195,6422.407918860001
226,Venezuela,VEN,0,0,3,3,1984,Los Angeles,USA,60.010285714,North,West,16876703.0,69.497,6249.5811494
227,Nigeria,NGA,0,1,1,2,1984,Los Angeles,USA,73.484359521,North,East,81448757.0,46.106,5132.154626533334
228,Denmark,DNK,0,3,3,6,1984,Los Angeles,USA,59.105236854,North,East,5111619.0,74.56219512,4769.836091046666
229,Austria,AUT,1,1,1,3,1984,Los Angeles,USA,67.985344887,North,East,7561434.0,73.61219512,4604.9858421
230,Spain,ESP,1,2,2,5,1984,Los Angeles,USA,172.103,North,West,38330364.0,76.29536585,4676.2183132733335
231,Portugal,PRT,1,0,2,3,1984,Los Angeles,USA,25.21796905,North,West,9996232.0,72.51463415,4772.601500306666
232,Greece,GRC,0,1,1,2,1984,Los Angeles,USA,48.020024184,North,East,9895801.0,74.82912195,4570.22862004
233,New Zealand,NZL,8,1,2,11,1984,Los Angeles,USA,21.665975319,South,East,3227100.0,74.37073171,10162.121673733332
234,Brazil,BRA,1,5,2,8,1984,Los Angeles,USA,209.024,South,West,132383569.0,64.039,6524.317218993334
235,Iceland,ISL,0,0,1,1,1984,Los Angeles,USA,2.864441356,North,West,239511.0,77.57658537,5458.149684733334
236,Zambia,ZMB,0,0,1,1,1984,Los Angeles,USA,2.739444444,South,East,6701547.0,52.87,5970.820348333334
237,Canada,CAN,10,18,16,44,1984,Los Angeles,USA,355.373,North,West,25607053.0,76.21707317,6264.481855317333
238,Sweden,SWE,2,11,6,19,1984,Los Angeles,USA,109.201,North,East,8336605.0,76.81585366,4888.82392808
239,Germany,DEU,17,19,23,59,1984,Los Angeles,USA,725.111,North,East,77858685.0,73.78292683,4684.012143373334
240,Ireland,IRL,0,1,0,1,1984,Los Angeles,USA,20.109800239,North,West,3532423.0,73.53146341,4872.6161907666665
241,Cameroon,CMR,0,0,1,1,1984,Los Angeles,USA,7.311937457,North,East,9757849.0,52.997,5286.381802733334
242,Norway,NOR,0,1,2,3,1984,Los Angeles,USA,62.057955033,North,East,4140099.0,76.22439024,4905.527072446666
243,Belgium,BEL,1,1,2,4,1984,Los Angeles,USA,83.349530159,North,East,9855372.0,74.40487805,4675.567093086667
244,Pakistan,PAK,1,0,0,1,1984,Los Angeles,USA,31.151825467,North,East,89213708.0,58.213,5320.200652933334
245,Ivory Coast,CIV,0,1,0,1,1984,Los Angeles,USA,6.841638715,North,West,9530103.0,52.645,5273.257207000001
246,France,FRA,5,7,16,28,1984,Los Angeles,USA,530.684,North,East,56337675.0,75.0,4657.586983086667
247,Peru,PER,0,1,0,1,1984,Los Angeles,USA,17.599660054,South,West,19319746.0,62.542,7182.3416774666675
248,Algeria,DZA,0,0,2,2,1984,Los Angeles,USA,53.698278906,North,East,21763578.0,63.13,4616.55255802
249,Italy,ITA,14,6,12,32,1984,Los Angeles,USA,437.888,North,East,56576718.0,75.3895122,4550.87002624
250,Australia,AUS,4,8,12,24,1984,Los Angeles,USA,193.242,South,East,15544000.0,75.38780488,8930.279554713334
251,Mexico,MEX,2,3,1,6,1984,Los Angeles,USA,184.261,North,West,74352631.0,68.38,7089.6430021333335
252,Jamaica,JAM,0,1,2,3,1984,Los Angeles,USA,2.373566957,North,West,2306367.0,71.614,6373.497472599998
253,United Kingdom,GBR,5,11,21,37,1984,Los Angeles,USA,461.487,North,West,56422072.0,74.77804878,4727.1456612
254,Finland,FIN,4,2,6,12,1984,Los Angeles,USA,52.88880095,North,East,4881803.0,74.51902439,4940.61010778
255,United States,USA,83,61,30,174,1984,Los Angeles,USA,4037.61,North,West,235825000.0,74.56341463,6262.408512226667
256,Thailand,THA,0,1,0,1,1984,Los Angeles,USA,41.797592963,North,East,51094870.0,67.128,6073.180027466665
258,Senegal,SEN,0,1,0,1,1988,Seoul,KOR,6.418419798,North,West,7086624.0,56.283,5203.302467466668
261,Colombia,COL,0,0,1,1,1988,Seoul,KOR,39.21255005,North,West,31822527.0,69.436,6596.774323
262,New Zealand,NZL,3,2,8,13,1988,Seoul,KOR,45.176811594,South,East,3283400.0,74.42439024,10162.121673733332
264,Netherlands,NLD,2,2,5,9,1988,Seoul,KOR,261.911,North,East,14760094.0,76.8902439,4712.265299573333
265,Costa Rica,CRI,0,1,0,1,1988,Seoul,KOR,4.614629898,North,West,2960932.0,75.243,6772.216453066667
266,Philippines,PHL,0,0,1,1,1988,Seoul,KOR,37.885440419,North,East,58794999.0,65.534,6570.342239333335
267,Turkey,TUR,1,1,0,2,1988,Seoul,KOR,90.852814005,North,East,52053764.0,63.266,4669.0263621799995
268,France,FRA,6,4,6,16,1988,Seoul,KOR,1018.85,North,East,57627106.0,76.1,4657.586983086667
269,Norway,NOR,2,3,0,5,1988,Seoul,KOR,101.9,North,East,4209488.0,76.2204878,4905.527072446666
270,Finland,FIN,1,1,2,4,1988,Seoul,KOR,109.059,North,East,4946481.0,74.57707317,4940.61010778
271,Romania,ROU,7,11,6,24,1988,Seoul,KOR,40.80952381,North,East,23057662.0,69.38804878,4620.2260788466665
272,Brazil,BRA,1,2,3,6,1988,Seoul,KOR,330.397,South,West,143627505.0,65.553,6524.317218993334
273,Belgium,BEL,0,0,2,2,1988,Seoul,KOR,162.299,North,East,9901664.0,75.56585366,4675.567093086667
274,Mexico,MEX,0,0,2,2,1988,Seoul,KOR,181.612,North,West,80788725.0,70.062,7089.6430021333335
275,Peru,PER,0,1,0,1,1988,Seoul,KOR,15.439408447,South,West,21153462.0,64.949,7182.3416774666675
276,Australia,AUS,3,6,5,14,1988,Seoul,KOR,235.658,South,East,16532200.0,76.43268293,8930.279554713334
277,Bulgaria,BGR,10,12,13,35,1988,Seoul,KOR,22.555941176,North,East,8981446.0,71.60439024,4584.094277499999
278,Pakistan,PAK,0,0,1,1,1988,Seoul,KOR,38.472742808,North,East,101389603.0,59.493,5320.200652933334
279,Austria,AUT,1,0,0,1,1988,Seoul,KOR,133.339,North,East,7585317.0,75.21707317,4604.9858421
281,Denmark,DNK,2,1,1,4,1988,Seoul,KOR,115.553,North,East,5129516.0,74.77170732,4769.836091046666
282,United States,USA,36,31,27,94,1988,Seoul,KOR,5236.44,North,West,244499000.0,74.76585366,6262.408512226667
283,Chile,CHL,0,1,0,1,1988,Seoul,KOR,26.040229793,South,West,12847712.0,72.872,7824.832181866667
284,China,CHN,5,11,12,28,1988,Seoul,KOR,312.354,North,East,1101630000.0,68.954,6152.341139926667
285,Thailand,THA,0,0,1,1,1988,Seoul,KOR,61.667199835,North,East,54891520.0,69.745,6073.180027466665
286,Switzerland,CHE,0,2,2,4,1988,Seoul,KOR,215.722,North,East,6593386.0,77.22658537,4591.695619313333
287,Italy,ITA,6,4,4,14,1988,Seoul,KOR,891.609,North,East,56629288.0,76.37073171,4550.87002624
288,Germany,DEU,11,14,15,40,1988,Seoul,KOR,1401.23,North,East,78144619.0,74.7924878,4684.012143373334
289,Spain,ESP,1,1,2,4,1988,Seoul,KOR,376.16,North,West,38766939.0,76.74707317,4676.2183132733335
290,Greece,GRC,0,0,1,1,1988,Seoul,KOR,76.261277925,North,East,10036983.0,75.8912439,4570.22862004
291,Argentina,ARG,0,1,1,2,1988,Seoul,KOR,126.207,South,West,31668939.0,71.186,7691.760326333334
292,Indonesia,IDN,0,1,0,1,1988,Seoul,KOR,84.300174477,South,East,174975953.0,61.512,6727.829790066666
293,Jamaica,JAM,0,2,0,2,1988,Seoul,KOR,3.828310735,North,West,2389415.0,72.601,6373.497472599998
294,Japan,JPN,4,3,7,14,1988,Seoul,KOR,3071.68,North,East,122578000.0,78.39926829,6878.392655666668
295,Germany,DEU,37,35,30,102,1988,Seoul,KOR,1401.23,North,East,78144619.0,74.7924878,4684.012143373334
296,South Korea,KOR,12,10,11,33,1988,Seoul,KOR,199.591,North,East,42031247.0,70.54878049,6422.407918860001
